"고유번호","작품분류코드","작품분류명","관리번호(년도)","관리번호(번호)","작품명(국문)","작품명(영문)","작품규격","액자규격","제작년도","재료/기법","기증자","수집년도","소장처분류코드","소장처분류명","작품캡션","작가명","메인이미지","썸네일이미지"
"1","A01","한국화","1985","1","무속","Korean Residents in Japan (4)","133 X 134","148 X 150.5","1985","종이에 수묵채색","","1985","B02","북서울미술관 수장고","","박생광","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=2","http://collections.eseoul.go.kr/data/art/thumb/0001_2.jpg"
"2","A02","회화","1986","1","신화시대","","130.3*162cm","133.3*165cm","1986","캔버스에 유채","","1986","B02","북서울미술관 수장고","","김영주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=4","http://collections.eseoul.go.kr/data/art/thumb/0002.jpg"
"3","A01","한국화","1987","1","설경","","299.5 X 120","315 X 137","1987","종이에 수묵담채","","1987","B02","북서울미술관 수장고","","하태진","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=5","http://collections.eseoul.go.kr/data/art/thumb/0003.jpg"
"4","A01","한국화","1987","2","취상 1","","117 X 117","131 X 131","1987","종이에 수묵","","1987","B02","북서울미술관 수장고","이종상(1938― )은 서울대학교 회화과를 졸업하고 동국대학교에서 동양철학으로 박사학위를 받았다. 파리의 루브르박물관을 비롯하여 국내외 유명 미술관에서 초대 개인전을 열었고, 640회 이상의 단체전에 참여하였다. 1964년 30대의 젊은 나이에 국전 심사위원에 올랐으며, 1977년 세계 최연소 화폐작가로 5천원권의 율곡 영정을 그렸다. 1960년대부터 고구려 벽화 연구로 ‘고구려 문화 지키기’ 운동에 앞장섰으며, 1977년 〈독도 진경전〉을 시작으로 독도 그림을 통해 ‘독도문화심기’ 운동을 이끌었다. 2003년 은관문화훈장을, 4.19혁명 당시 민주화에 앞장 선 공로로 2010년 건국포장을 받았다. 2009년 5만원권의 신사임당 영정을 제작, 최초로 두 번의 화폐용 영정을 그린 작가가 되었다. 서울대학교 미술대학 교수, 서울대학교 12대 박물관장 및 초대 미술관장 등을 역임했으며, 현재 서울대학교 명예교수, 상명대학교 석좌교수, 한국벽화연구소장 등을 맡고 있다. 2004년 대한민국예술원 회원으로 선출되었다.  이종상은 동서고금을 넘나들며 ‘한국의 것은 무엇인가’를 끊임없이 탐구해 온 작가다. 오랜 기간의 고구려 벽화 연구를 통해 벽화의 조형적 효과와 보존성을 활용한 작품을 제작하였고, 겸재의 진경을 계승하자는 취지로 수십 번이나 독도를 오가며 세계 최초로 ‘독도’를 그리는 화가가 되었다. 이당 김은호로부터 전통 영정기법을 전수받아 두 차례의 화폐그림을 포함하여 고산 윤선도, 광개토대왕, 원효대사, 김홍도, 장보고 등의 영정 작품을 남기기도 하였다. 1988년 이후로는 한국미술의 자생성에 대한 근원적 질문을 던지는 ‘원형상’ 시리즈로 큰 호평을 받았다. 1997년 루브르박물관 카루젤 초대전에 설치되었던 벽화작품 〈원형상 97061―마리산〉은 병인양요를 주제로 하여 높이 6m, 길이 71.3m의 거대한 크기와 한지의 특성을 이용한 조명효과로 127만 명의 관람객을 동원하면서 화제가 되었는데, 거액을 제시하며 작품의 영구설치를 요청하는 박물관 측에 돈 대신 규장각 도서와 직지심경의 반환을 요구하였던 것은 이종상의 민족적 역사의식을 잘 보여주는 일화다. 이종상은 평생에 걸쳐 역사와 사회에 대한 문제의식을 가지고 그것을 예술로써 실천해 왔으며, 수묵에서 유화, 벽화까지 섭렵하며 다양한 방식으로 ‘한국의 미학’을 드러내고 있다.   〈취상 1〉(1987)은 이종상의 ‘독도’ 시리즈 중 하나로, 먹의 농담을 이용한 발묵으로 안개가 내려앉은 듯 어스름한 독도의 풍경을 그려낸 작품이다. 작가는 수평선을 중심으로 하여 실제의 독도와 물에 비친 형상이 마주하는 단순한 조형으로 깊이 있는 추상성을 보여 준다. ‘상(象)을 고르다’라는 뜻의 작품 제목 ‘취상(取象)’은 단지 시각적으로 바라 본 실경을 그대로 옮기는 것이 아니라 마음의 눈에 맺힌 풍경을 그린다는 진경산수의 본질을 드러내주어 겸재의 정신을 계승하려는 작가의 의지를 담고 있다. ","이종상","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6","http://collections.eseoul.go.kr/data/art/thumb/0004.jpg"
"5","A02","회화","1987","3","환영 1","","160 X 103","162.4*105cm","1987","캔버스에 유채","","1987","B02","북서울미술관 수장고","","이준","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=7","http://collections.eseoul.go.kr/data/art/thumb/0005.jpg"
"6","A02","회화","1987","4","축제","","161 X 391","167.5*398cm","1987","캔버스에 유채","","1987","B02","북서울미술관 수장고","","하인두","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=8","http://collections.eseoul.go.kr/data/art/thumb/0006.jpg"
"7","A02","회화","1987","5","아름다운 한강","","53 X 72.7","94 X 113","1987","캔버스에 유채","","1987","B02","북서울미술관 수장고","","이수억","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=9","http://collections.eseoul.go.kr/data/art/thumb/0007.jpg"
"8","A02","회화","1987","6","아! 나의 한강","","53 X 72.7","77.5 X 97.5","1987","캔버스에 유채","","1987","B02","북서울미술관 수장고","","최낙경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=10","http://collections.eseoul.go.kr/data/art/thumb/0008_1.jpg"
"9","A02","회화","1987","7","아름다운 한강 2","","89.4 X 130.3","122 X 157","1987","캔버스에 유채","","1987","B02","북서울미술관 수장고","","김명식","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=13","http://collections.eseoul.go.kr/data/art/thumb/0009.jpg"
"10","A02","회화","1987","8","한강메세지 2","","80.3 X 116.8","104 X 140","1987","캔버스에 유채","","1987","B02","북서울미술관 수장고","","구자승","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=14","http://collections.eseoul.go.kr/data/art/thumb/0010.jpg"
"11","A03","드로잉&판화","1987","9","사랑의 계절 87 - A","","58 X 76","77 X 96","1987","리도그래프","","1987","B01","서소문본관 수장고","","이상욱","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=15","http://collections.eseoul.go.kr/data/art/thumb/0011_1.jpg"
"12","A03","드로잉&판화","1987","10","사랑의 계절 87 - B","","58 X 76","77 X 96","1987","리도그래프","","1987","B01","서소문본관 수장고","","이상욱","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=18","http://collections.eseoul.go.kr/data/art/thumb/0012_1.jpg"
"13","A03","드로잉&판화","1987","11","공 87 - 7","","57 X 46","91 X 75","1987","목판화, 세리그래프","","1987","B01","서소문본관 수장고","","이승일","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=21","http://collections.eseoul.go.kr/data/art/thumb/0013_1.jpg"
"14","A03","드로잉&판화","1987","12","공 87 - 9","","46 X 57","75 X 96","1987","목판화, 세리그래프","","1987","B01","서소문본관 수장고","","이승일","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=24","http://collections.eseoul.go.kr/data/art/thumb/0014_1.jpg"
"15","A03","드로잉&판화","1987","13","","YO - YO","25 X 16","61 X 52","1987","에칭","","1987","B01","서소문본관 수장고","","전경자","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=27","http://collections.eseoul.go.kr/data/art/thumb/0015_1.jpg"
"16","A04","조각","1987","14","가족","","50 X 94 X 19.5","","1987","동","","1987","B02","북서울미술관 수장고","","민복진","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=30","http://collections.eseoul.go.kr/data/art/thumb/0016.jpg"
"17","A01","한국화","1988","1","산과 그림","","181.5*211.3cm","184*213.6cm","1988","종이에 수묵채색/발묵법","","1988","B02","북서울미술관 수장고","","송수남","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=31","http://collections.eseoul.go.kr/data/art/thumb/0017.jpg"
"18","A01","한국화","1988","2","정토","","93*184.1cm","94.5*185.7cm","1988","종이에 수묵채색/발묵법","","1988","B02","북서울미술관 수장고","","송영방","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=32","http://collections.eseoul.go.kr/data/art/thumb/0018_1.jpg"
"19","A01","한국화","1988","3","알터","","186.2*379.5cm","229.3*424cm","1988","종이에 수묵채색/발묵법","","1988","B02","북서울미술관 수장고","","이영복","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=35","http://collections.eseoul.go.kr/data/art/thumb/0019.jpg"
"20","A01","한국화","1988","4","세월","","126 X 259","133 X 266","1988","한지에 수묵담채/구륵법","","1988","B02","북서울미술관 수장고","","이철주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=36","http://collections.eseoul.go.kr/data/art/thumb/0020.jpg"
"21","A01","한국화","1988","5","우연에서 필연으로 8804","","181 X 90 X 2점","","1988","한지에 수묵담채","","1988","B02","북서울미술관 수장고","","이경수","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=37","http://collections.eseoul.go.kr/data/art/thumb/0021.jpg"
"22","A01","한국화","1988","6","성하","","173*226.3cm","189.2*242.3cm","1988","종이에 수묵담채/몰골법","","1988","B02","북서울미술관 수장고","","오용길","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=38","http://collections.eseoul.go.kr/data/art/thumb/0022.jpg"
"23","A01","한국화","1988","7","신시","","178.5*238.2cm","183.5*243.52cm","1988","종이에 수묵담채","","1988","B02","북서울미술관 수장고","","이철량","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=39","http://collections.eseoul.go.kr/data/art/thumb/0023.jpg"
"24","A01","한국화","1988","8","잊혀진 것들","","84 X 186","90 X 192","1988","한지에 수묵","","1988","B02","북서울미술관 수장고","","정탁영","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=40","http://collections.eseoul.go.kr/data/art/thumb/0024_1.jpg"
